Date,Requests,DataSent
2009-01-04-06,14296915,241962375169
2009-01-04-07,14437011,239602496506
2009-01-04-08,14154616,236352605921
2009-01-04-09,14402945,239001055574
2009-01-04-10,15365943,251008293347
2009-01-04-11,16650115,263829879109
2009-01-04-12,17952416,283621146411
2009-01-04-13,18372178,293535167802
2009-01-04-14,18978063,304120984450
2009-01-04-15,19527312,311991344257
2009-01-04-16,19648782,313300761900
2009-01-04-17,13136828,206834948114
2009-01-04-18,18503789,294328757816
2009-01-04-19,20377670,324912562350
2009-01-04-20,20729361,332212893011
2009-01-04-21,20782369,330926481133
2009-01-04-22,20658685,330519476958
2009-01-04-23,19928254,321784063303
2009-01-05-00,18639280,307957667604
2009-01-05-01,18407154,306677302977
2009-01-05-02,17303418,295252581306
2009-01-05-03,16524637,287303982623
2009-01-05-04,16224290,286818075707
2009-01-05-05,16366319,287004278678
2009-01-05-06,15805055,279571229861
2009-01-05-07,15298676,272398485362
2009-01-05-08,15368790,278912648319
2009-01-05-09,15624877,285959401530
2009-01-05-10,15106866,284756039505
2009-01-05-11,17863734,320637811066
2009-01-05-12,18403699,332787637688
2009-01-05-13,19421203,357355876726
2009-01-05-14,20775601,384916627890
2009-01-05-15,21542626,402034310451
2009-01-05-16,22019490,399805311145
2009-01-05-17,21539409,384542470602
2009-01-05-18,21619735,379677452287
2009-01-05-19,21880237,379659809081
2009-01-05-20,22012840,379792838192
2009-01-05-21,22096561,380813430315
2009-01-05-22,20847037,358448404890
2009-01-05-23,17126319,300464115680
2009-01-06-00,14830206,267821671554
2009-01-06-01,12941808,244084436260
2009-01-06-02,12638134,238946620874
2009-01-06-03,12552415,237872735292
2009-01-06-04,12220688,235901064965
2009-01-06-05,11669003,220639583360
2009-01-06-06,11699489,225337205571
2009-01-06-07,11834925,229096019441
2009-01-06-08,12154139,238196078809
2009-01-06-09,12968875,255756825268
2009-01-06-10,14195515,282754067142
2009-01-06-11,15303746,296166243464
2009-01-06-12,16255542,309726768503
2009-01-06-13,17383879,336693425880
2009-01-06-14,19162435,369782229403
2009-01-06-15,20034489,388071398453
2009-01-06-16,20202953,379765278755
2009-01-06-17,19531295,360468317286
2009-01-06-18,19195151,348584364807
2009-01-06-19,19545538,346971539726
2009-01-06-20,19902654,351355074802
2009-01-06-21,19421984,340646498670
2009-01-06-22,18367885,321858887417
2009-01-06-23,16384042,288088397565
2009-01-07-00,14412205,258160105558
2009-01-07-01,13555487,245932824389
2009-01-07-02,12973530,241377047594
2009-01-07-03,12434273,235311776275
2009-01-07-04,11283861,232620209077
2009-01-07-05,11692920,226599414545
2009-01-07-06,11750996,225253558105
2009-01-07-07,11515268,226874933951
2009-01-07-08,12278831,246005469346
2009-01-07-09,13178338,266204463510
2009-01-07-10,14353429,293133843033
2009-01-07-11,15046461,300015686532
2009-01-07-12,15668582,308426964919
2009-01-07-13,16806482,331250073481
2009-01-07-14,18695804,366225668615
2009-01-07-15,19268302,376723499057
2009-01-07-16,19288216,362902402972
2009-01-07-17,19142188,350273948056
2009-01-07-18,18750115,336810245325
2009-01-07-19,18863196,334400610571
2009-01-07-20,18904866,332750956782
2009-01-07-21,19002732,331669687978
2009-01-07-22,18049845,314220448584
2009-01-07-23,16381421,287398960021
2009-01-08-00,14256666,256506409520
2009-01-08-01,13401014,241938039521
2009-01-08-02,12631479,231240520024
2009-01-08-03,12223924,226709639984
2009-01-08-04,11780170,226530268194
2009-01-08-05,11023495,213407639207
2009-01-08-06,10644323,215454859569
2009-01-08-07,11221801,222736829862
2009-01-08-08,12279876,242754551507
2009-01-08-09,13213381,263817389830
2009-01-08-10,14474586,293631364151
2009-01-08-11,15050349,299928270041
2009-01-08-12,15541079,307962346876
2009-01-08-13,16330475,329675955909
2009-01-08-14,18318804,366113671575
2009-01-08-15,19419183,388330390914
2009-01-08-16,19644392,378155774008
2009-01-08-17,19904204,368943761234
2009-01-08-18,19598300,354650318769
2009-01-08-19,19420154,349559023868
2009-01-08-20,19351658,344301564467
2009-01-08-21,19064324,335112519685
2009-01-08-22,18029741,314647696035
2009-01-08-23,16181856,284671790934
2009-01-09-00,14316058,258749713862
2009-01-09-01,13458157,243367699732
2009-01-09-02,12652217,237995201195
2009-01-09-03,12217025,234222692606
2009-01-09-04,11872727,234664471144
2009-01-09-05,11375379,221097520859
2009-01-09-06,11219264,221760069571
2009-01-09-07,11125440,224313972735
2009-01-09-08,11109914,235571269739
2009-01-09-09,11877141,252403261635
2009-01-09-10,13009322,278442784055
2009-01-09-11,14343386,287695936957
2009-01-09-12,14617345,294006462119
2009-01-09-13,15599014,313570682663
2009-01-09-14,17420522,347647963099
2009-01-09-15,18544185,369929356761
2009-01-09-16,18582068,355638407312
2009-01-09-17,18416686,342783841169
2009-01-09-18,18072185,332797662255
2009-01-09-19,17478655,321739518841
2009-01-09-20,17317499,317054055323
2009-01-09-21,17242095,307777853768
2009-01-09-22,16916390,297474269422
2009-01-09-23,15662345,273254899497
2009-01-10-00,13703252,241683779285
2009-01-10-01,12909242,225349170000
2009-01-10-02,12070901,218380414551
2009-01-10-03,11676918,211952011937
2009-01-10-04,11389265,208051619809
2009-01-10-05,11168303,204479115779
2009-01-10-06,10589273,194696736909
2009-01-10-07,9891680,184269761433
2009-01-10-08,9765545,182702898044
2009-01-10-09,10213980,186123813663
2009-01-10-10,11214894,197134969862
2009-01-10-11,12350269,207503207610
2009-01-10-12,13167717,220501582131
2009-01-10-13,13605797,236274668151
2009-01-10-14,14964859,256368065930
2009-01-10-15,15949885,270404270192
2009-01-10-16,16791880,284303083891
2009-01-10-17,17349032,292274406182
2009-01-10-18,17546400,294468011156
2009-01-10-19,17125268,285762153959
2009-01-10-20,17041194,283090322650
2009-01-10-21,16963596,284870467752
2009-01-10-22,16650261,280217850195
2009-01-10-23,15723568,265402003681
2009-01-11-00,14486938,248791001442
2009-01-11-01,13594396,238607315791
2009-01-11-02,13038691,230689992643
2009-01-11-03,12607630,226342597863
2009-01-11-04,12190960,220101178822
2009-01-11-05,11670652,214886603209
2009-01-11-06,11148919,204090657375
2009-01-11-07,10422608,192421327376
2009-01-11-08,10197444,188640725803
2009-01-11-09,10619850,196050969659
2009-01-11-10,11979611,214471467749
2009-01-11-11,13531965,231691693658
2009-01-11-12,14999512,251311657535
2009-01-11-13,15675381,261809037934
2009-01-11-14,16826871,280099179799
2009-01-11-15,17844585,295547288016
2009-01-11-16,18693725,309070676468
2009-01-11-17,19360167,317671924654
2009-01-11-18,19687780,324386425499
2009-01-11-19,19967611,326479688202
2009-01-11-20,19816943,324876310421
2009-01-11-21,19395265,321067056318
2009-01-11-22,18506636,309156399094
2009-01-11-23,16687007,284284471943
2009-01-12-00,14975154,263004676423
2009-01-12-01,13992543,250108481914
2009-01-12-02,13341631,242023645063
2009-01-12-03,12904541,241931389703
2009-01-12-04,12661515,238515832845
2009-01-12-05,12169317,231074701191
2009-01-12-06,11754299,227785351530
2009-01-12-07,11239463,222003272407
2009-01-12-08,11944014,241357946047
2009-01-12-09,12907728,263910206499
2009-01-12-10,14216447,296427008770
2009-01-12-11,14833145,306554920639
2009-01-12-12,15478160,318530409307
2009-01-12-13,16733212,342518607921
2009-01-12-14,19073558,385980128150
2009-01-12-15,20710727,418093668573
2009-01-12-16,21281213,411002541058
2009-01-12-17,21314249,394943473795
2009-01-12-18,21361889,387121681493
2009-01-12-19,21423680,385101357614
2009-01-12-20,21663925,386967186119
2009-01-12-21,21123299,373631472049
2009-01-12-22,19788225,348834657300
2009-01-12-23,17463764,309531303293
2009-01-13-00,15404941,280557181075
2009-01-13-01,14431288,267886346519
2009-01-13-02,13379930,255728980833
2009-01-13-03,13019602,251101435953
2009-01-13-04,12677514,251310520175
2009-01-13-05,12270454,240789744022
2009-01-13-06,11865729,239825886124
2009-01-13-07,11511854,236470141365
2009-01-13-08,12951236,260637404629
2009-01-13-09,14039249,284210309822
2009-01-13-10,15163656,310337726392
2009-01-13-11,15720334,317421693138
2009-01-13-12,16285498,326754982138
2009-01-13-13,17043805,343666454776
2009-01-13-14,19417264,387469405634
2009-01-13-15,21014892,416889804454
2009-01-13-16,21519304,410359122844
2009-01-13-17,21676061,398874076540
2009-01-13-18,21193492,381176301137
2009-01-13-19,21032685,372184780356
2009-01-13-20,21671332,381628142437
2009-01-13-21,21491336,375706299288
2009-01-13-22,20520785,356100353595
2009-01-13-23,17964130,315496943885
2009-01-14-00,15989804,286851167700
2009-01-14-01,14859876,268809867307
2009-01-14-02,14000825,257622886518
2009-01-14-03,13662614,255087595651
2009-01-14-04,13377993,255657273702
2009-01-14-05,12993886,245139800255
2009-01-14-06,12522197,238403844859
2009-01-14-07,12107819,234488688669
2009-01-14-08,13019706,256641516685
2009-01-14-09,14169351,278663878847
2009-01-14-10,15296626,307091355258
2009-01-14-11,15921151,315410463537
2009-01-14-12,16617924,327112728267
2009-01-14-13,17578809,349890109475
2009-01-14-14,19720129,385510017814
2009-01-14-15,21441460,418654488105
2009-01-14-16,21690513,407367217261
2009-01-14-17,21623899,393503323275
2009-01-14-18,21310749,380555486215
2009-01-14-19,21042739,372951619574
2009-01-14-20,20879200,367865777302
2009-01-14-21,20625550,358226245640
2009-01-14-22,16970442,287349786883
2009-01-14-23,17701663,308082225729
2009-01-15-00,15618445,278907172544
2009-01-15-01,14887611,268300125149
2009-01-15-02,13966671,256188476606
2009-01-15-03,13517812,254354200431
2009-01-15-04,13305772,254472634309
2009-01-15-05,12997176,244582587849
2009-01-15-06,12447257,239848487878
2009-01-15-07,12050189,238215284213
2009-01-15-08,12930586,260230237164
2009-01-15-09,13889782,282365375442
2009-01-15-10,15055033,309829625425
2009-01-15-11,15330980,311483094737
2009-01-15-12,16038391,321132407498
2009-01-15-13,16982545,341547001222
2009-01-15-14,19023813,382120428777
2009-01-15-15,20752670,416717958633
2009-01-15-16,21250869,409793732937
2009-01-15-17,21161838,391529270891
2009-01-15-18,21395009,388739573436
2009-01-15-19,19830276,352719293324
2009-01-15-20,20614649,367061722880
2009-01-15-21,20392674,358247086955
2009-01-15-22,19174913,335217758366
2009-01-15-23,17455994,305762565551
2009-01-16-00,15416024,279713533748
2009-01-16-01,14809198,269662347369
2009-01-16-02,13991008,260322737817
2009-01-16-03,13473836,252836536354
2009-01-16-04,13391544,254301954686
2009-01-16-05,12677355,238490443484
2009-01-16-06,11881928,227587484680
2009-01-16-07,11393751,223410820745
2009-01-16-08,12208733,244240154885
2009-01-16-09,13049275,260559173559
2009-01-16-10,13987725,286208860078
2009-01-16-11,14362865,289719739816
2009-01-16-12,15008725,298333668823
2009-01-16-13,15604226,311590912797
2009-01-16-14,17454827,343723982443
2009-01-16-15,18983964,373354311509
2009-01-16-16,19432486,369419890066
2009-01-16-17,19600853,362153814478
2009-01-16-18,18906545,342891868935
2009-01-16-19,18521234,332818423640
2009-01-16-20,18472897,328657833297
2009-01-16-21,18173912,320772988425
2009-01-16-22,17554430,302851690625
2009-01-16-23,16034608,275590640702
2009-01-17-00,14143903,244335586327
2009-01-17-01,13548217,231547260233
2009-01-17-02,12737442,220622546751
2009-01-17-03,12509992,217686298982
2009-01-17-04,12187395,213139798442
2009-01-17-05,11678620,205046239921
2009-01-17-06,11123230,199669118593
2009-01-17-07,10488712,184513298525
2009-01-17-08,10249477,178855561526
2009-01-17-09,10672801,187356092390
2009-01-17-10,11729565,198909290341
2009-01-17-11,12756703,208557630219
2009-01-17-12,13476163,219659984417
2009-01-17-13,13788263,232267001956
2009-01-17-14,14964051,255339470918
2009-01-17-15,16462727,279739430463
2009-01-17-16,17428439,286771551971
2009-01-17-17,17840714,293449223914
2009-01-17-18,17969980,296512148279
2009-01-17-19,17770818,290257604836
2009-01-17-20,17302950,283533719920
2009-01-17-21,17455348,285635754321
2009-01-17-22,18005085,305392101374
2009-01-17-23,16174069,267879228107
2009-01-18-00,14943968,251134195288
2009-01-18-01,14407258,242656983792
2009-01-18-02,13512382,227800161625
2009-01-18-03,13257957,227689509111
2009-01-18-04,12801663,220029381681
2009-01-18-05,12644066,217168126054
2009-01-18-06,12033904,207812443121
2009-01-18-07,11444692,196373440846
2009-01-18-08,11312402,194206060987
2009-01-18-09,11821536,200772240699
2009-01-18-10,13157592,217984638757
2009-01-18-11,14296995,232033908551
2009-01-18-12,15356064,253006802285
2009-01-18-13,16479954,268955939300
2009-01-18-14,17727321,288408822732
2009-01-18-15,18788506,303398815564
2009-01-18-16,19467548,317147998930
2009-01-18-17,20097838,322444868630
2009-01-18-18,20413811,323791243952
2009-01-18-19,21059162,330655774123
2009-01-18-20,20989076,329189848144
2009-01-18-21,20455963,324431077352
2009-01-18-22,19690301,314641061787
2009-01-18-23,17661144,288410567265
2009-01-19-00,15968601,274119828018
2009-01-19-01,15022312,267171751565
2009-01-19-02,14212277,262911400516
2009-01-19-03,13892425,262281619232
2009-01-19-04,13855667,268780589734
2009-01-19-05,13480853,257131145441
2009-01-19-06,13211127,255540361442
2009-01-19-07,12960523,253252655022
2009-01-19-08,13865956,277091244097
2009-01-19-09,14871054,299683417217
2009-01-19-10,15746600,321428262582
2009-01-19-11,16237731,331505204649
2009-01-19-12,16003288,336985533669
2009-01-19-13,17063540,352310664879
2009-01-19-14,18780705,382737948251
2009-01-19-15,20568921,416318197381
2009-01-19-16,21169923,405079710974
2009-01-19-17,21610094,398747405838
2009-01-19-18,21986159,389372177397
2009-01-19-19,21916597,380366589191
2009-01-19-20,22100751,382905044895
2009-01-19-21,21592357,373842053179
2009-01-19-22,20435557,352329632798
2009-01-19-23,18535798,322768165555
2009-01-20-00,16382078,295718213442
2009-01-20-01,15223987,283742340968
2009-01-20-02,14356015,276046815250
2009-01-20-03,14079075,273355262597
2009-01-20-04,13998276,284357933214
2009-01-20-05,13418414,268163337865
2009-01-20-06,12993693,260791606288
2009-01-20-07,12491822,256334070212
2009-01-20-08,13440248,279521335785
2009-01-20-09,14607844,302547964312
2009-01-20-10,15820216,329230710715
2009-01-20-11,16278202,332560630864
2009-01-20-12,16865837,345016133020
2009-01-20-13,17592791,365839250155
2009-01-20-14,19634565,406936996803
2009-01-20-15,21078970,436772075245
2009-01-20-16,21126683,425979415639
2009-01-20-17,20766371,425506623744
2009-01-20-18,20090540,412782237312
2009-01-20-19,21024230,414939549832
2009-01-20-20,21129078,404524294611
2009-01-20-21,20519194,389343155542
2009-01-20-22,19778283,376236687649
2009-01-20-23,18130463,345132784618
2009-01-21-00,16013505,311119367429
2009-01-21-01,14632190,292666514018
2009-01-21-02,13915380,283949098622
2009-01-21-03,13360509,275171117977
2009-01-21-04,13330483,275954694434
2009-01-21-05,13097391,269507666081
2009-01-21-06,12579396,260374008301
2009-01-21-07,12228155,256216571553
2009-01-21-08,13041084,275238587074
2009-01-21-09,14075006,296745868101
2009-01-21-10,15343710,327295323089
2009-01-21-11,16174711,337619751250
2009-01-21-12,16898143,348600989366
2009-01-21-13,18064912,370540306514
2009-01-21-14,20303650,414053497045
2009-01-21-15,22268265,451835131798
2009-01-21-16,22357474,435947428306
2009-01-21-17,22613926,428596809000
2009-01-21-18,21960058,410285628667
2009-01-21-19,21801126,401110053659
2009-01-21-20,21551316,392439106672
2009-01-21-21,21259904,382117764554
2009-01-21-22,19907294,357828723309
2009-01-21-23,17879253,324156018597
2009-01-22-00,15401458,290272245771
2009-01-22-01,14064885,277010088522
2009-01-22-02,13254965,264031194953
2009-01-22-03,12887455,260817175993
2009-01-22-04,12784402,267008236741
2009-01-22-05,12241423,252116135645
2009-01-22-06,11660426,252624895366
2009-01-22-07,11260478,240833227107
2009-01-22-08,12237052,264545734478
2009-01-22-09,13196821,284322421118
2009-01-22-10,14556602,316222086418
2009-01-22-11,15292280,324563743138
2009-01-22-12,16347441,336861328409
2009-01-22-13,17650113,364407741808
2009-01-22-14,19723902,402430253467
2009-01-22-15,20954748,427154891026
2009-01-22-16,21035100,410866213728
2009-01-22-17,21241810,403488303385
2009-01-22-18,20884821,384525963083
2009-01-22-19,20777987,377296825206
2009-01-22-20,20642102,371923086014
2009-01-22-21,20149940,358919867870
2009-01-22-22,15995674,286457812380
2009-01-22-23,17261955,309356919266
2009-01-23-00,15094806,278002924835
2009-01-23-01,14214859,269335864296
2009-01-23-02,13510503,260919384705
2009-01-23-03,13114829,253731260511
2009-01-23-04,12856634,251197771357
2009-01-23-05,12511935,243567437052
2009-01-23-06,12173879,244711211296
2009-01-23-07,11974647,240697290447
2009-01-23-08,12260415,258178582309
2009-01-23-09,12868858,273177714112
2009-01-23-10,13796500,295859943159
2009-01-23-11,14177417,295917415638
2009-01-23-12,14770777,303980858468
2009-01-23-13,15829425,320919555220
2009-01-23-14,17566240,356046987396
2009-01-23-15,19094697,386253666751
2009-01-23-16,18915354,365896189106
2009-01-23-17,18981842,353808134252
2009-01-23-18,18692934,343086318776
2009-01-23-19,18460118,334725900599
2009-01-23-20,18535650,335743106669
2009-01-23-21,18221131,321046529523
2009-01-23-22,17762361,310270497389
2009-01-23-23,16391882,291226766583
2009-01-24-00,14621478,257929049788
2009-01-24-01,13498053,236281034236
2009-01-24-02,12526927,224680300019
2009-01-24-03,12154005,220838921276
2009-01-24-04,11895250,215451740232
2009-01-24-05,11819743,214998484769
2009-01-24-06,11411039,208955827717
2009-01-24-07,10785522,198309603594
2009-01-24-08,10308125,193410213472
2009-01-24-09,10902303,199711687273
2009-01-24-10,11566816,207022951405
2009-01-24-11,12295970,219472051019
2009-01-24-12,12945274,228790344767
2009-01-24-13,14101965,247128811470
2009-01-24-14,15805542,274704275338
2009-01-24-15,16652583,286785020580
2009-01-24-16,17258948,295764521802
2009-01-24-17,17965567,308864060697
2009-01-24-18,17853937,309419326752
2009-01-24-19,18097090,307237249794
2009-01-24-20,17977164,302389764402
2009-01-24-21,18065891,305598237348
2009-01-24-22,17714522,298671872243
2009-01-24-23,16863300,282536022540
2009-01-25-00,15393261,264929886439
2009-01-25-01,14170793,245570465721
2009-01-25-02,13298923,237815751904
2009-01-25-03,12730689,234882933447
2009-01-25-04,12379809,232029893026
2009-01-25-05,12116264,227035353489
2009-01-25-06,11716031,220106034157
2009-01-25-07,11158063,210191508719
2009-01-25-08,10846532,203300132080
2009-01-25-09,11707245,214834795401
2009-01-25-10,13100903,228994824557
2009-01-25-11,14568144,242218550497
2009-01-25-12,15774297,259758118247
2009-01-25-13,16430053,273931514145
2009-01-25-14,17637160,297321971210
2009-01-25-15,18643522,312885340100
2009-01-25-16,19503702,326516592035
2009-01-25-17,20481366,340448218056
2009-01-25-18,20799702,345402193602
2009-01-25-19,20783430,343407542477
2009-01-25-20,21077532,343348635400
2009-01-25-21,20576731,338440686264
2009-01-25-22,19593299,323575579482
2009-01-25-23,17908404,302296095997
2009-01-26-00,15788485,277756182863
2009-01-26-01,14798229,269579256050
2009-01-26-02,13937269,262302063065
2009-01-26-03,13615528,260917130853
2009-01-26-04,13087612,253562519788
2009-01-26-05,12572503,244175321617
2009-01-26-06,12490993,245216250685
2009-01-26-07,12549739,246123945146
2009-01-26-08,13339685,268857798908
2009-01-26-09,14197406,291278504602
2009-01-26-10,15320392,317653192744
2009-01-26-11,16177266,330190676377
2009-01-26-12,16824758,343035193983
2009-01-26-13,17485407,363049717254
2009-01-26-14,19604617,400204479840
2009-01-26-15,20744187,421290194845
2009-01-26-16,21463822,412013010554
2009-01-26-17,21171085,395601116461
2009-01-26-18,20868570,381096051577
2009-01-26-19,20871080,376702294845
2009-01-26-20,20871390,374964955818
2009-01-26-21,20759872,367808089919
2009-01-26-22,19859049,346621436169
2009-01-26-23,17627049,310139210604
2009-01-27-00,15428996,282891727681
2009-01-27-01,14194544,267033505862
2009-01-27-02,13522236,262793931883
2009-01-27-03,13235751,261036935355
2009-01-27-04,12932883,259918668536
2009-01-27-05,12398326,249832903182
2009-01-27-06,12268732,254011435345
2009-01-27-07,12214551,251823595954
2009-01-27-08,13097709,272300016929
2009-01-27-09,14213543,295368972525
2009-01-27-10,15520906,325293362930
2009-01-27-11,16270725,333099117667
2009-01-27-12,16913814,345272812758
2009-01-27-13,17696805,361527477978
2009-01-27-14,18662859,371248368097
2009-01-27-15,21117359,427454935262
2009-01-27-16,22067422,429485252757
2009-01-27-17,22328924,418109055428
2009-01-27-18,21766328,397284236746
2009-01-27-19,21682890,388803566740
2009-01-27-20,21697646,386517119067
2009-01-27-21,21131310,375102504914
2009-01-27-22,19775235,351236967271
2009-01-27-23,17700195,320152859578
2009-01-28-00,16089608,293825550663
2009-01-28-01,14938395,277085222359
2009-01-28-02,14074779,264032080549
2009-01-28-03,13694577,267622962441
2009-01-28-04,13573861,270229569849
2009-01-28-05,13681993,268075944860
2009-01-28-06,12871114,256782131852
2009-01-28-07,12234882,246858686918
2009-01-28-08,13005445,264784267023
2009-01-28-09,14046781,288811822743
2009-01-28-10,15250166,320062811352
2009-01-28-11,16051011,328318560217
2009-01-28-12,16610273,336454389270
2009-01-28-13,17664914,351598243493
2009-01-28-14,19855912,389179558671
2009-01-28-15,21495587,417350886715
2009-01-28-16,21910641,410157416423
2009-01-28-17,22004243,399544467442
2009-01-28-18,21624024,385873304028
2009-01-28-19,21376590,377999139824
2009-01-28-20,21232617,372680240299
2009-01-28-21,20596271,356142929627
2009-01-28-22,19341172,330817859324
2009-01-28-23,17196559,298683402497
2009-01-29-00,15174877,270391147632
2009-01-29-01,13992868,257723085057
2009-01-29-02,12843014,249263187021
2009-01-29-03,12397250,246956748664
2009-01-29-04,12455086,253517439135
2009-01-29-05,12208852,247603484307
2009-01-29-06,11743383,246781159338
2009-01-29-07,12065340,244664481974
2009-01-29-08,12841537,265962723461
2009-01-29-09,13969962,291668476032
2009-01-29-10,15133590,321553053954
2009-01-29-11,15697606,324349684369
2009-01-29-12,15727745,321800120961
2009-01-29-13,17201927,352489084687
2009-01-29-14,19163880,385383287575
2009-01-29-15,20772695,417791817383
2009-01-29-16,21122524,409587238765
2009-01-29-17,21061471,398297667671
2009-01-29-18,20553853,380884836288
2009-01-29-19,20908731,384014303482
2009-01-29-20,20651748,375108111853
2009-01-29-21,20118442,365705048045
2009-01-29-22,19235673,342340867804
2009-01-29-23,17353793,309254933365
2009-01-30-00,15481766,283760652505
2009-01-30-01,14561868,270379647782
2009-01-30-02,13609731,260300272762
2009-01-30-03,13476120,265596012443
2009-01-30-04,13226883,263006658254
2009-01-30-05,12876827,254562835165
2009-01-30-06,11499508,243623480638
2009-01-30-07,10896826,233335782650
2009-01-30-08,11547610,247971160489
2009-01-30-09,12508731,271439189036
2009-01-30-10,13342467,294586982083
2009-01-30-11,14202889,300874600727
2009-01-30-12,15104016,310565809109
2009-01-30-13,16066641,326738159193
2009-01-30-14,17675715,358679948419
2009-01-30-15,19457235,397523283253
2009-01-30-16,19565909,383690379967
2009-01-30-17,19121314,366038646514
2009-01-30-18,18673718,351849273594
2009-01-30-19,18569930,352114918336
2009-01-30-20,18477114,351013286035
2009-01-30-21,18254509,338217224815
2009-01-30-22,17664145,319538094734
2009-01-30-23,16078963,284616689118
2009-01-31-00,14124338,250328941650
2009-01-31-01,13084919,238071965284
2009-01-31-02,11700754,229161305027
2009-01-31-03,11439238,223698384369
2009-01-31-04,11929812,228352937241
2009-01-31-05,12053713,228463433309
2009-01-31-06,11379512,218280626641
2009-01-31-07,10692615,197199074966
2009-01-31-08,10377428,189725467045
2009-01-31-09,10924068,199486849230
2009-01-31-10,11815163,214430192262
2009-01-31-11,12811743,226420483807
2009-01-31-12,12960524,231493915054
2009-01-31-13,13597265,240832703955
2009-01-31-14,14743431,259244031462
2009-01-31-15,14455211,251346168687
2009-01-31-16,16104057,279863313421
2009-01-31-17,17257080,297269239774
2009-01-31-18,17142838,291871860686
2009-01-31-19,16854645,288015306715
2009-01-31-20,16655675,290975708424
2009-01-31-21,17417188,300608137499
2009-01-31-22,17252020,294164545142
2009-01-31-23,16357662,277218025907
2009-02-01-00,14930535,260860056381
2009-02-01-01,14263828,253099138632
2009-02-01-02,13698276,246694055644
2009-02-01-03,13208855,240712576450
2009-02-01-04,12954226,237135169496
2009-02-01-05,12500390,226065408379
2009-02-01-06,12064787,227653360491
2009-02-01-07,11311653,210583909860
2009-02-01-08,10959037,206018758053
2009-02-01-09,11456688,214442263559
2009-02-01-10,12692461,224975240849
2009-02-01-11,14218641,240474393877
2009-02-01-12,15553633,260668994162
2009-02-01-13,15544969,264036569828
2009-02-01-14,17579479,304472418766
2009-02-01-15,18751770,320896087915
2009-02-01-16,19422067,330622192013
2009-02-01-17,19680641,331233460709
2009-02-01-18,20062990,337083726191
2009-02-01-19,20195892,337046783203
2009-02-01-20,20531584,338591550658
2009-02-01-21,19792195,336491973376
2009-02-01-22,18808014,326884951794
2009-02-01-23,16869210,306140808849
2009-02-02-00,15139773,283939549457
2009-02-02-01,14018197,269626757174
2009-02-02-02,13628248,276082225829
2009-02-02-03,13096377,268597232948
2009-02-02-04,12852824,274871810492
2009-02-02-05,12804887,259428672820
2009-02-02-06,12697445,264447076255
2009-02-02-07,12266886,256798765395
