Date,Number of Requests
2008-01-08-12,11688421
2008-01-08-13,12941429
2008-01-08-14,14754661
2008-01-08-15,16091213
2008-01-08-16,16523814
2008-01-08-17,16721523
2008-01-08-18,16253303
2008-01-08-19,16000707
2008-01-08-20,15713750
2008-01-08-21,15452410
2008-01-08-22,14851559
2008-01-08-23,13549919
2008-01-09-00,12008125
2008-01-09-01,11607685
2008-01-09-02,11431982
2008-01-09-03,11278225
2008-01-09-04,10698321
2008-01-09-05,9643628
2008-01-09-06,8801922
2008-01-09-07,8521084
2008-01-09-08,9198514
2008-01-09-09,9992964
2008-01-09-10,11143485
2008-01-09-11,11478581
2008-01-09-12,11929041
2008-01-09-13,12959256
2008-01-09-14,14738742
2008-01-09-15,16460594
2008-01-09-16,16856638
2008-01-09-17,16755130
2008-01-09-18,16281678
2008-01-09-19,15836342
2008-01-09-20,15594807
2008-01-09-21,15365427
2008-01-09-22,14872043
2008-01-09-23,13532701
2008-01-10-00,11988925
2008-01-10-01,11483400
2008-01-10-02,11469560
2008-01-10-03,11444678
2008-01-10-04,10913419
2008-01-10-05,9834543
2008-01-10-06,8878182
2008-01-10-07,9087223
2008-01-10-08,9364293
2008-01-10-09,10038513
2008-01-10-10,10827507
2008-01-10-11,11103916
2008-01-10-12,11621039
2008-01-10-13,12710016
2008-01-10-14,14380294
2008-01-10-15,15937746
2008-01-10-16,16408997
2008-01-10-17,16468191
2008-01-10-18,15964625
2008-01-10-19,15796949
2008-01-10-20,15596863
2008-01-10-21,14757225
2008-01-10-22,14648157
2008-01-10-23,13681615
2008-01-11-00,12316233
2008-01-11-01,12087344
2008-01-11-02,12084672
2008-01-11-03,11876650
2008-01-11-04,11186034
2008-01-11-05,10064303
2008-01-11-06,9029673
2008-01-11-07,8595410
2008-01-11-08,9255437
2008-01-11-09,9859366
2008-01-11-10,10512280
2008-01-11-11,11101613
2008-01-11-12,11233193
2008-01-11-13,12157331
2008-01-11-14,13719340
2008-01-11-15,14843455
2008-01-11-16,15304555
2008-01-11-17,15257233
2008-01-11-18,14534302
2008-01-11-19,14056170
2008-01-11-20,13936263
2008-01-11-21,13642876
2008-01-11-22,13380055
2008-01-11-23,12245222
2008-01-12-00,10602213
