Date,Number of Requests,Data Sent
2008-07-10-03,11956536,223718206282
2008-07-10-04,11665504,222110193043
2008-07-10-05,10782811,204391585412
2008-07-10-06,10554116,205607374368
2008-07-10-07,11090897,219469690093
2008-07-10-08,11683782,233814115204
2008-07-10-09,12446159,252830490938
2008-07-10-10,12778348,253590213448
2008-07-10-11,12852264,254106663154
2008-07-10-12,13284953,264302282453
2008-07-10-13,14628977,293358362017
2008-07-10-14,15805886,317387530255
2008-07-10-15,16280758,314041420483
2008-07-10-16,16126345,301358365739
2008-07-10-17,15463118,283505868837
2008-07-10-18,15491165,283544084049
2008-07-10-19,15292649,277355369331
2008-07-10-20,15313261,275082993182
2008-07-10-21,14960777,266455047069
2008-07-10-22,13577550,240993094946
2008-07-10-23,11939444,210423709082
2008-07-11-00,10827247,199944490972
2008-07-11-01,11253266,208171798298
2008-07-11-02,11545647,218721323433
2008-07-11-03,11772384,225627935959
2008-07-11-04,11440278,224368034518
2008-07-11-05,10651240,207248632245
2008-07-11-06,10496597,208933758106
2008-07-11-07,10961982,218840678935
2008-07-11-08,11617276,231620077536
2008-07-11-09,12468408,251715968503
2008-07-11-10,12647818,249162504714
2008-07-11-11,12472728,243936949252
2008-07-11-12,12339667,243919347169
2008-07-11-13,13584060,264953776696
2008-07-11-14,14803919,287181316793
2008-07-11-15,15520858,291824168698
2008-07-11-16,15456264,287394099453
2008-07-11-17,15040129,274118096012
2008-07-11-18,14676362,265558038752
2008-07-11-19,14709692,263232137488
2008-07-11-20,14513696,258049675029
2008-07-11-21,14351970,252259306335
2008-07-11-22,13174930,229401269623
2008-07-11-23,11851223,206756259361
2008-07-12-00,10842627,187846437384
2008-07-12-01,10103636,175617180052
